updated 10/16/14,,,,
CID,CRPName,Party,DistIDRunFor,FECCandID
N00030000,"Wise, Scott",L,IN03,H8IN03068
N00035696,"Witt, James Lee",D,AR04,H4AR04063
N00029459,"Wittman, Rob",R,VA01,H8VA01147
N00036638,"Wofford, Ann",R,MA03,H4MA03097
N00002073,"Wolf, Frank",R,VA10,H6VA10050
N00031857,"Womack, Steve",R,AR03,H0AR03055
N00036386,"Wonnacott, Brian",D,UT03,H4UT03153
N00036510,"Wood, John Jr",R,CA43,H4CA43084
N00032416,"Woodall, Rob",R,GA07,H0GA07133
N00036213,"Woods, James Issac",D,AZ05,H4AZ05088
N00036606,"Woods, Ray",I,OKS2,S4OK00349
N00036163,"Woolf, Aaron",D,NY21,H4NY21103
N00036630,"Wright, Ed",L,IA03,H4IA03131
N00035689,"Wright, Erick",D,AL02,H4AL02071
N00036301,"Wright, Paul",R,NC04,H4NC04115
N00007724,"Wyden, Ron",D,ORS2,S6OR00110
N00028073,"Yarmuth, John A",D,KY03,H6KY03124
N00035951,"Yates, Jason",R,OR01,H4OR01113
N00031502,"Yoder, Kevin",R,KS03,H0KS03137
N00033220,"Yoho, Ted",R,FL03,H2FL06109
N00035509,"Young, David",R,IA03,H4IA03115
N00007999,"Young, Don",R,AK01,H6AK00045
N00034715,"Young, Herschel",L,MO04,H2MO04116
N00030670,"Young, Todd",R,IN09,H0IN09070
N00035569,"Ytterberg, Don",R,CO07,H4CO07036
N00029887,"Zaccaria, Mark",R,RIS2,S4RI00044
N00027934,"Zamora, Eddie",R,TX15,H6TX15113
N00029404,"Zeldin, Lee",R,NY01,H8NY01148
N00033127,"Zerban, Rob",D,WI01,H2WI01084
N00036358,"Zetzer, Mark",R,OH11,H4OH11066
N00030451,"Zimmer, George",3,MI04,H4MI04142
N00035616,"Zinke, Ryan K",R,MT01,H4MT01041
